"ID","12142020-cnf-1","12172020cl3","12182020cl1","12192020cml1","12202020","12212020","12232020cp","12252020cp2f"
"1000661|CE1000660_50",NA,NA,2,NA,NA,NA,NA,NA
"1000796|CE1000795_1661",NA,NA,NA,1,NA,NA,NA,NA
"1001805|CE1001804_1231",NA,NA,NA,2,NA,NA,NA,NA
"1003630|CE1003629_2320",NA,1,NA,NA,NA,NA,NA,NA
"1003955|CE1003954_7524",NA,NA,1,NA,NA,NA,NA,NA
"1005965|CE1005964_312339",NA,NA,NA,NA,NA,NA,NA,1
"1006265|CE1006264_8645",NA,2,NA,NA,NA,NA,NA,NA
"1006840|CE1006839_3397",NA,1,NA,NA,NA,NA,NA,NA
"1007287|CE1007286_19321",76,16,70,75,77,84,53,84
"1009508|CE1009507_1514",NA,2,2,NA,NA,NA,NA,2
"1009607|CE1009606_7361",NA,NA,NA,NA,2,NA,NA,NA
"1009999|CE1009998_2664",NA,NA,3,2,2,2,NA,4
"1010174|CE1010173_6252",NA,NA,NA,2,4,NA,NA,2
"1010315|CE1010314_10624",NA,2,NA,NA,NA,NA,NA,NA
"1011995|CE1011994_3931",NA,NA,2,NA,NA,NA,NA,NA
"1012370|CE1012369_1178",NA,1,NA,NA,2,NA,2,NA
"1013227|CE1013226_3920",NA,NA,2,NA,NA,NA,NA,NA
"1013525|CE1013524_79695",2,22,37,60,71,47,8,42
"1014401|CE1014400_2764",NA,1,NA,NA,NA,2,NA,2
"1015859|CE1015858_18131",2,2,4,2,4,2,6,22
"1016078|CE1016077_9402",NA,NA,NA,NA,NA,NA,2,NA
"1016309|CE1016308_22490",NA,4,1,6,4,NA,NA,2
"1016717|CE1016716_8812",NA,4,NA,NA,NA,NA,NA,NA
"1017054|CE1017053_428",NA,NA,NA,2,NA,NA,NA,NA
"1017663|CE1017662_6083",NA,NA,2,NA,NA,NA,NA,6
"1017955|CE1017954_2775",NA,NA,NA,NA,NA,NA,NA,6
"1018787|CE1018786_2430",NA,6,15,NA,2,10,NA,2
"1019165|CE1019164_9687",NA,9,6,1,NA,2,NA,1
"1019566|CE1019565_9303",NA,NA,1,NA,2,NA,NA,1
"1020235|CE1020234_2925",2,NA,NA,NA,NA,NA,NA,NA
"1020515|CE1020514_6619",NA,NA,2,NA,NA,NA,NA,NA
"1023149|CE1023148_937",NA,NA,NA,NA,NA,NA,NA,2
"1023191|CE1023190_6049",NA,2,NA,NA,2,NA,NA,NA
"1023336|CE1023335_265",NA,1,NA,NA,NA,NA,NA,NA
"1023896|CE1023895_22155",NA,1,4,5,2,3,6,2
"1024742|CE1024741_3957",NA,NA,NA,2,NA,NA,NA,NA
"1024748|CE1024747_4227",NA,1,NA,NA,NA,NA,2,2
"1024948|CE1024947_80632",4,30,37,40,30,28,NA,10
"1024983|CE1024982_3532",NA,NA,NA,NA,2,NA,NA,NA
"1025243|CE1025242_11139",NA,NA,NA,1,NA,NA,NA,NA
"1025353|CE1025352_889",NA,NA,NA,NA,NA,NA,1,NA
"1025512|CE1025511_1576",NA,NA,NA,2,NA,NA,3,NA
"1026237|CE1026236_1038",NA,1,NA,NA,NA,NA,NA,NA
"1026284|CE1026283_76",NA,NA,NA,NA,NA,NA,NA,2
"1026910|CE1026909_7954",NA,NA,NA,NA,2,NA,NA,NA
"102836|CE102835_6685",NA,NA,1,NA,2,1,2,2
"1028682|CE1028681_757",NA,1,NA,NA,NA,NA,NA,NA
"1029744|CE1029743_751",NA,NA,NA,NA,NA,NA,1,NA
"1029796|CE1029795_25115",NA,3,NA,NA,NA,NA,NA,NA
"1031420|CE1031419_80830",NA,NA,5,16,15,7,NA,5
"1031437|CE1031436_11463",2,1,2,2,NA,NA,2,32
"1033191|CE1033190_45283",NA,NA,1,2,2,NA,4,4
"1033231|CE1033230_15546",NA,1,3,4,NA,2,NA,2
"1033805|CE1033804_3213",NA,3,NA,NA,NA,NA,NA,NA
"1036321|CE1036320_265",NA,NA,NA,NA,NA,2,NA,NA
"1036444|CE1036443_103123",27,14,12,34,46,23,49,38
"1037034|CE1037033_240",NA,NA,NA,NA,NA,NA,NA,2
