protein1	protein2	combined_score
Q0045	YJL003W	315
Q0045	YDR231C	463
Q0045	Q0140	463
Q0045	YHR024C	194
Q0045	YKR016W	315
Q0045	YGL187C	989
Q0045	YCL017C	360
Q0045	YGR033C	351
Q0045	YHR051W	996
Q0045	YIL111W	969
Q0045	YNR020C	315
Q0045	YKL155C	307
Q0045	YNL052W	982
Q0045	YGR112W	507
Q0045	YIL157C	610
Q0045	YOR020C	315
Q0045	YLR038C	997
Q0045	Q0120	256
Q0045	YNR018W	928
Q0045	Q0065	540
Q0045	YEL039C	462
Q0045	YHR001W-A	958
Q0045	YGL226W	662
Q0045	YLR395C	985
Q0045	YER004W	197
Q0045	Q0275	995
Q0045	YDL067C	970
Q0045	YML129C	634
Q0045	YML030W	483
Q0045	YMR256C	977
Q0045	YPR191W	967
Q0045	YFR033C	964
Q0045	YBR255C-A	315
Q0045	YLR290C	197
Q0045	Q0115	256
Q0045	YGL191W	982
Q0045	YEL024W	964
Q0045	YIR024C	315
Q0045	Q0060	540
Q0045	YOR257W	315
Q0045	YLR067C	315
Q0045	Q0085	315
Q0045	YJR048W	462
Q0045	YPR024W	252
Q0045	YMR090W	197
Q0045	YOR065W	956
Q0045	YDR529C	953
Q0045	YLR203C	483
Q0045	Q0105	969
Q0045	Q0070	540
Q0045	YDR119W-A	958
Q0045	Q0250	998
Q0045	YGR222W	315
Q0045	YPR042C	315
Q0045	YPL132W	577
Q0045	YBL045C	982
Q0045	YNR017W	315
Q0045	YJL166W	962
Q0045	YKL192C	530
Q0045	YLR163C	724
Q0045	YGR183C	964
Q0045	YBR185C	280
Q0045	YJL062W-A	606
Q0045	Q0050	800
Q0045	Q0110	256
Q0045	YER154W	315
Q0045	YPL172C	495
Q0050	YLR395C	800
Q0050	YPR140W	495
Q0050	YGL191W	800
Q0050	YHR051W	800
Q0050	Q0250	800
Q0050	YGL187C	800
Q0050	YAL024C	495
Q0050	YKR016W	315
Q0050	YGL122C	315
Q0050	YMR256C	800
Q0050	YLR038C	800
Q0050	YDL067C	800
Q0050	Q0275	800
Q0050	Q0045	800
Q0050	YBR009C	315
Q0050	YER142C	159
Q0050	YNL052W	800
Q0055	YGL187C	288
Q0055	YKR016W	315
Q0055	YLR320W	315
Q0060	YEL039C	462
Q0060	YMR090W	197
Q0060	YDR529C	631
Q0060	YOR065W	660
Q0060	YJR048W	462
Q0060	YEL024W	724
