(species=Irpex lackeys)(type=Full)(curator=GO)
1009999 = 4830
1009999 = 6418
1009999 = 5737
1009999 = 5524
1009999 = 4812
1009999 = 6436
1009999 = 6412
1009999 = 166
1010174 = 49
1010174 = 9328
1010174 = 8033
1010174 = 6412
1010174 = 5737
1010174 = 287
1010174 = 6418
1010174 = 6432
1010174 = 5524
1010174 = 4826
1010174 = 4812
1010174 = 166
1013525 = 42132
1013525 = 42578
1013525 = 5975
1015859 = 3824
1015859 = 42450
1015859 = 4056
1016309 = 5515
1016309 = 4595
1016309 = 16020
1016309 = 16192
1017663 = 105
1017663 = 4424
1018787 = 3676
1023896 = 30170
1023896 = 16769
1023896 = 9058
1024748 = 8270
1024748 = 5515
1025512 = 1716
1025512 = 6118
1025512 = 16491
1031420 = 51082
1031420 = 6457
1031420 = 31072
1031437 = 8422
1031437 = 4553
1031437 = 5975
1033191 = 16020
1033231 = 4386
1033231 = 3676
1033231 = 3677
1033231 = 5524
1033231 = 5488
1036444 = 9058
1038775 = 3684
1038775 = 51438
1038775 = 5634
1038775 = 5515
1038775 = 3677
1038775 = 3676
1038775 = 51443
1038775 = 51440
1038775 = 4842
1038775 = 8270
1038775 = 51444
1038775 = 6281
1038831 = 3968
1039647 = 5622
1039647 = 5525
1039647 = 15031
1039647 = 3924
1039647 = 6913
1039647 = 6886
1039647 = 7264
1039647 = 5515
1039647 = 7165
1044353 = 50023
1044578 = 5515
1044578 = 6886
1044578 = 30127
1044578 = 6888
1044578 = 8270
1045090 = 30983
1045090 = 6298
1045090 = 5524
104927 = 30126
104927 = 5515
104927 = 16192
104927 = 8565
104927 = 5198
104927 = 6461
104927 = 30117
104927 = 6886
104927 = 5488
1051855 = 16787
1051855 = 298
1051875 = 3824
1051875 = 30729
1051875 = 8152
1052895 = 4693
1052895 = 30529
1052895 = 42254
1053341 = 5737
1053341 = 6412
1053341 = 166
1053341 = 3723
1053341 = 4826
1053341 = 6432
1053341 = 9328
1053341 = 5524
105716 = 5488
1057362 = 3676
1057539 = 4573
1057539 = 3824
1057539 = 9311
1059948 = 6457
1059948 = 4600
1059948 = 30051
1059948 = 3755
1059948 = 42027
106146 = 42626
106146 = 5524
106146 = 166
106146 = 16887
106146 = 17111
106146 = 16021
106146 = 15412
106146 = 6810
1062788 = 15031
1062788 = 5622
1062788 = 5525
1062788 = 7264
1063525 = 3960
106388 = 16818
106388 = 5524
106388 = 4386
106388 = 3676
106388 = 8026
1063977 = 5634
1063977 = 43565
1063977 = 6355
1063977 = 3700
106918 = 6904
106918 = 16192
1073715 = 5622
1073715 = 32313
1073715 = 5097
1075217 = 8270
1075217 = 15976
1075217 = 4089
107635 = 32040
107635 = 6364
1076867 = 16787
1076867 = 8152
1078136 = 4553
1078136 = 5975
1078136 = 4558
1080782 = 5506
1080782 = 50381
1080782 = 4497
1080782 = 20037
1080782 = 6118
1083283 = 8270
1083283 = 5515
1084006 = 4672
1084006 = 5524
1084006 = 6468
1084030 = 6468
1084030 = 4713
1084030 = 4672
1084030 = 5524
1085437 = 6810
1085437 = 5643
1089203 = 3677
1089203 = 3918
1089203 = 6304
1089203 = 5694
1089203 = 6265
1089203 = 5524
1089203 = 3676
1089203 = 6259
1089981 = 4040
1089981 = 16884
1091882 = 5488
1091882 = 19370
1091882 = 8270
1091882 = 8237
1091882 = 4463
1093160 = 5524
1093160 = 6468
1093160 = 4682
1093160 = 4672
1093160 = 4674
1094479 = 5524
1094479 = 6468
1094479 = 4672
110036 = 8538
110036 = 8537
1103942 = 16491
1103942 = 8152
1105038 = 3676
1105038 = 4386
1105038 = 8026
1105038 = 5524
1108583 = 15986
1108583 = 16469
1108583 = 46961
1108583 = 46933
1110002 = 5515
1110911 = 6810
1110911 = 16020
1110911 = 5215
1110911 = 16021
1124061 = 5622
1124061 = 6412
1124061 = 3723
1124061 = 5840
1124061 = 3735
1124061 = 3676
1125506 = 3918
1125506 = 5524
1125506 = 3677
1125506 = 6265
1125506 = 5694
1125506 = 6259
1125886 = 4417
1125886 = 4789
1125886 = 9228
1131789 = 4249
1131789 = 166
1131789 = 30402
1131789 = 5524
1131789 = 8133
1131789 = 8319
1131789 = 17111
113181 = 15935
113181 = 3723
113181 = 19843
113181 = 5622
113181 = 3735
113181 = 6412
1132711 = 3950
1138980 = 8270
1138980 = 3700
1138980 = 5622
1138980 = 5634
1138980 = 6355
1138980 = 3676
1139614 = 16773
1139614 = 48015
1139614 = 5942
1139614 = 16303
1139614 = 15072
1139614 = 15073
1139614 = 5488
1139614 = 4428
1139614 = 46854
1141630 = 45282
1141630 = 16020
1141630 = 6118
1141630 = 104
1141630 = 45281
1141630 = 6099
1141647 = 18658
1141647 = 6725
1141647 = 4497
1141647 = 6118
1144159 = 6570
1144159 = 4411
1144159 = 6559
1144889 = 5198
1144889 = 7017
1144889 = 7018
1144889 = 43234
1144889 = 5874
1144889 = 51258
1144889 = 3924
1144889 = 5525
114500 = 5524
114500 = 17111
114500 = 5634
114500 = 166
114500 = 3678
1146418 = 3950
1147278 = 5759
1152063 = 16020
1152063 = 4571
1152063 = 5509
1153794 = 45543
1157231 = 3755
1157231 = 4600
1157231 = 42027
1157231 = 30051
1157231 = 16853
1157307 = 3677
115956 = 5509
115956 = 16020
115956 = 4571
1166448 = 5524
1166448 = 6468
1166448 = 4672
1166448 = 4682
1173608 = 8171
1173608 = 47146
1174399 = 6350
1174399 = 3677
1174399 = 8270
1174399 = 3700
1174399 = 5634
1174399 = 6355
1176381 = 4406
1176381 = 4405
1176381 = 8080
1176381 = 16454
1176381 = 16417
1176381 = 19186
