#proteinId	iprId	iprDesc	domainDb	domainId	domainDesc	numHits	domainStarts	domainEnds	score
378	IPR001810	F-box domain	HMMPfam	PF12937	F-box-like	1	23,	89,	9.8E-7
554	IPR001810	F-box domain	HMMPfam	PF12937	F-box-like	1	27,	93,	1.0E-6
672	IPR001810	F-box domain	HMMPfam	PF12937	F-box-like	1	6,	47,	6.9E-10
672	IPR001810	F-box domain	ProSiteProfiles	PS50181	F-box domain profile.	1	2,	47,	10.69
672	IPR001810	F-box domain	SMART	SM00256	A Receptor for Ubiquitination Targets	1	8,	47,	3.0E-4
672	\N	\N	SUPERFAMILY	SSF52047	\N	1	66,	171,	8.24E-5
672	IPR001810	F-box domain	SUPERFAMILY	SSF81383	\N	1	4,	55,	5.23E-9
715	\N	\N	SUPERFAMILY	SSF52047	\N	1	303,	629,	8.63E-20
765	IPR001810	F-box domain	HMMPfam	PF12937	F-box-like	1	17,	59,	3.8E-8
765	IPR001810	F-box domain	ProSiteProfiles	PS50181	F-box domain profile.	1	14,	59,	10.557
765	IPR001810	F-box domain	SMART	SM00256	A Receptor for Ubiquitination Targets	1	20,	59,	0.0021
765	IPR001810	F-box domain	SUPERFAMILY	SSF81383	\N	1	15,	62,	1.44E-8
1727	\N	\N	SUPERFAMILY	SSF52047	\N	1	141,	387,	9.42E-9
2851	IPR006121	Heavy metal-associated domain, HMA	HMMPfam	PF00403	Heavy-metal-associated domain	1	50,	96,	4.0E-11
2851	\N	\N	PRINTS	PR00942	Copper-transporting ATPase 1 signature	2	47,73,	72,96,	1.7E-9,1.7E-9
2851	IPR017969	Heavy-metal-associated, conserved site	ProSitePatterns	PS01047	Heavy-metal-associated domain.	1	52,	82,	-
2851	IPR006121	Heavy metal-associated domain, HMA	ProSiteProfiles	PS50846	Heavy-metal-associated domain profile.	1	47,	119,	17.093
2851	IPR006121	Heavy metal-associated domain, HMA	SUPERFAMILY	SSF55008	\N	1	44,	102,	1.07E-15
2852	IPR008250	P-type ATPase, A  domain	HMMPfam	PF00122	E1-E2 ATPase	1	197,	438,	6.1E-52
2852	IPR006121	Heavy metal-associated domain, HMA	HMMPfam	PF00403	Heavy-metal-associated domain	1	1,	56,	3.6E-11
2852	IPR023214	HAD-like domain	HMMPfam	PF00702	haloacid dehalogenase-like hydrolase	1	442,	699,	3.1E-39
2852	IPR001757	P-type ATPase	PRINTS	PR00119	P-type cation-transporting ATPase superfamily signature	5	279,446,630,686,709,	293,460,640,705,721,	1.9E-25,1.9E-25,1.9E-25,1.9E-25,1.9E-25
2852	\N	\N	PRINTS	PR00942	Copper-transporting ATPase 1 signature	4	16,84,119,139,	37,105,139,164,	3.3E-9,3.3E-9,3.3E-9,3.3E-9
2852	\N	\N	PRINTS	PR00943	Copper-transporting ATPase signature	4	37,195,352,614,	57,214,366,631,	5.0E-6,5.0E-6,5.0E-6,5.0E-6
2852	IPR018303	P-type ATPase, phosphorylation site	ProSitePatterns	PS00154	E1-E2 ATPases phosphorylation site.	1	448,	454,	-
2852	IPR006121	Heavy metal-associated domain, HMA	ProSiteProfiles	PS50846	Heavy-metal-associated domain profile.	1	1,	59,	19.538
2852	IPR006121	Heavy metal-associated domain, HMA	SUPERFAMILY	SSF55008	\N	1	1,	63,	6.54E-16
2852	IPR023214	HAD-like domain	SUPERFAMILY	SSF56784	\N	2	445,576,	464,791,	1.97E-46,1.97E-46
2852	\N	\N	SUPERFAMILY	SSF81653	\N	1	242,	329,	3.53E-24
2852	IPR023299	P-type ATPase, cytoplasmic domain N	SUPERFAMILY	SSF81660	\N	1	483,	617,	5.75E-11
2852	\N	\N	SUPERFAMILY	SSF81665	\N	3	195,330,735,	226,440,795,	5.49E-10,5.49E-10,5.49E-10
2852	IPR001757	P-type ATPase	TIGRFAM	TIGR01494	ATPase_P-type: HAD ATPase, P-type, family IC	2	198,605,	367,764,	5.3E-20,1.9E-39
2852	IPR027256	P-type ATPase, subfamily IB	TIGRFAM	TIGR01525	ATPase-IB_hvy: heavy metal translocating P-type ATPase	1	156,	794,	4.2E-178
3036	\N	\N	SUPERFAMILY	SSF52047	\N	1	91,	254,	6.67E-6
4122	IPR024983	CHAT domain	HMMPfam	PF12770	CHAT domain	1	821,	1101,	6.2E-34
4122	\N	\N	SUPERFAMILY	SSF48452	\N	1	114,	474,	7.08E-11
4873	IPR024983	CHAT domain	HMMPfam	PF12770	CHAT domain	1	769,	1052,	1.5E-38
4873	\N	\N	SUPERFAMILY	SSF48452	\N	2	61,147,	94,402,	4.55E-11,4.55E-11
5088	IPR011600	Peptidase C14, caspase domain	HMMPfam	PF00656	Caspase domain	1	5,	262,	5.2E-14
5536	IPR001810	F-box domain	HMMPfam	PF12937	F-box-like	1	5,	48,	8.3E-9
5536	IPR001810	F-box domain	ProSiteProfiles	PS50181	F-box domain profile.	1	1,	37,	9.471
5536	\N	\N	SUPERFAMILY	SSF52047	\N	1	106,	349,	7.26E-8
5536	IPR001810	F-box domain	SUPERFAMILY	SSF81383	\N	1	5,	38,	4.32E-7
5743	IPR007125	Histone core	HMMPfam	PF00125	Core histone H2A/H2B/H3/H4	1	61,	85,	1.2E-4
5743	IPR000164	Histone H3/CENP-A	PRINTS	PR00622	Histone H3 signature	4	3,17,37,61,	17,31,58,78,	3.7E-41,3.7E-41,3.7E-41,3.7E-41
5743	IPR000164	Histone H3/CENP-A	ProSitePatterns	PS00322	Histone H3 signature 1.	1	15,	21,	-
5743	IPR000164	Histone H3/CENP-A	ProSitePatterns	PS00959	Histone H3 signature 2.	1	70,	78,	-
5743	IPR000164	Histone H3/CENP-A	SMART	SM00428	Histone H3	1	37,	91,	7.3E-5
5743	IPR009072	Histone-fold	SUPERFAMILY	SSF47113	\N	1	2,	84,	3.07E-24
6619	IPR019410	Nicotinamide N-methyltransferase-like	HMMPfam	PF10294	Putative methyltransferase	1	158,	350,	3.3E-24
6619	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase	SUPERFAMILY	SSF53335	\N	1	209,	326,	1.52E-6
6708	IPR011502	Nucleoporin Nup85-like	HMMPfam	PF07575	Nup85 Nucleoporin	2	148,495,	462,659,	2.1E-32,1.0E-13
6942	IPR013149	Alcohol dehydrogenase, C-terminal	HMMPfam	PF00107	Zinc-binding dehydrogenase	1	174,	265,	8.6E-17
6942	IPR013154	Alcohol dehydrogenase GroES-like	HMMPfam	PF08240	Alcohol dehydrogenase GroES-like domain	1	27,	90,	2.5E-6
6942	IPR020843	Polyketide synthase, enoylreductase domain	SMART	SM00829	Enoylreductase	1	10,	345,	6.9E-9
6942	IPR011032	GroES (chaperonin 10)-like	SUPERFAMILY	SSF50129	\N	1	3,	146,	3.35E-32
6942	\N	\N	SUPERFAMILY	SSF51735	\N	1	117,	314,	1.1E-23
7197	IPR001372	Dynein light chain, type 1/2	HMMPfam	PF01221	Dynein light chain type 1	1	26,	109,	1.3E-40
7197	IPR019763	Dynein light chain, type 1/2, conserved site	ProSitePatterns	PS01239	Dynein light chain type 1 signature.	1	76,	90,	-
7197	\N	\N	SUPERFAMILY	SSF54648	\N	1	25,	109,	2.09E-38
7406	IPR002893	Zinc finger, MYND-type	HMMPfam	PF01753	MYND finger	1	162,	190,	6.4E-9
7406	IPR002893	Zinc finger, MYND-type	ProSiteProfiles	PS50865	Zinc finger MYND-type profile.	1	149,	190,	10.28
7406	\N	\N	SUPERFAMILY	SSF144232	\N	1	144,	191,	2.09E-8
7634	IPR013069	BTB/POZ	HMMPfam	PF00651	BTB/POZ domain	1	38,	160,	1.1E-6
7634	IPR000210	BTB/POZ-like	ProSiteProfiles	PS50097	BTB domain profile.	1	34,	123,	9.641
7634	IPR000210	BTB/POZ-like	SMART	SM00225	Broad-Complex, Tramtrack and Bric a brac	1	36,	164,	2.5E-6
7634	IPR011333	BTB/POZ fold	SUPERFAMILY	SSF54695	\N	1	38,	160,	9.42E-6
7647	IPR002893	Zinc finger, MYND-type	HMMPfam	PF01753	MYND finger	1	314,	342,	1.9E-8
7647	IPR002893	Zinc finger, MYND-type	ProSiteProfiles	PS50865	Zinc finger MYND-type profile.	1	301,	342,	10.419
7647	\N	\N	SUPERFAMILY	SSF144232	\N	1	298,	344,	4.71E-8
8574	IPR002893	Zinc finger, MYND-type	HMMPfam	PF01753	MYND finger	1	543,	573,	2.7E-7
8574	IPR002893	Zinc finger, MYND-type	ProSiteProfiles	PS50865	Zinc finger MYND-type profile.	1	532,	573,	10.306
8574	\N	\N	SUPERFAMILY	SSF144232	\N	1	531,	574,	7.15E-8
8578	IPR002893	Zinc finger, MYND-type	HMMPfam	PF01753	MYND finger	1	312,	342,	3.0E-7
8578	IPR002893	Zinc finger, MYND-type	ProSiteProfiles	PS50865	Zinc finger MYND-type profile.	1	301,	342,	10.306
8578	\N	\N	SUPERFAMILY	SSF144232	\N	1	297,	343,	5.06E-8
10160	IPR002893	Zinc finger, MYND-type	HMMPfam	PF01753	MYND finger	1	219,	247,	3.4E-8
10160	IPR002893	Zinc finger, MYND-type	ProSiteProfiles	PS50865	Zinc finger MYND-type profile.	1	203,	247,	9.995
10160	\N	\N	SUPERFAMILY	SSF144232	\N	1	215,	251,	1.92E-8
10506	IPR002893	Zinc finger, MYND-type	HMMPfam	PF01753	MYND finger	1	138,	175,	5.7E-8
10506	IPR002893	Zinc finger, MYND-type	ProSiteProfiles	PS50865	Zinc finger MYND-type profile.	1	134,	175,	9.987
10506	\N	\N	SUPERFAMILY	SSF144232	\N	1	134,	177,	1.69E-7
10587	IPR001810	F-box domain	SUPERFAMILY	SSF81383	\N	1	44,	102,	1.7E-5
10658	IPR001810	F-box domain	ProSiteProfiles	PS50181	F-box domain profile.	1	41,	74,	8.597
10658	IPR001810	F-box domain	SUPERFAMILY	SSF81383	\N	1	32,	77,	1.57E-6
10885	IPR002938	Monooxygenase, FAD-binding	HMMPfam	PF01494	FAD binding domain	1	14,	383,	5.9E-16
10885	IPR003042	Aromatic-ring hydroxylase-like	PRINTS	PR00420	Aromatic-ring hydroxylase (flavoprotein monooxygenase) signature	3	12,346,361,	34,361,377,	3.0E-11,3.0E-11,3.0E-11
10885	\N	\N	SUPERFAMILY	SSF51905	\N	2	12,331,	191,434,	1.41E-46,1.41E-46
10885	\N	\N	SUPERFAMILY	SSF54373	\N	1	226,	333,	2.2E-8
12203	IPR000408	Regulator of chromosome condensation, RCC1	HMMPfam	PF00415	Regulator of chromosome condensation (RCC1) repeat	3	78,193,256,	133,253,309,	5.3E-6,6.7E-12,1.3E-7
12203	IPR019787	Zinc finger, PHD-finger	HMMPfam	PF00628	PHD-finger	1	443,	490,	4.3E-11
12203	IPR000408	Regulator of chromosome condensation, RCC1	PRINTS	PR00633	Chromosome condensation regulator RCC1 signature	4	120,139,243,259,	133,155,259,273,	3.1E-7,3.1E-7,3.1E-7,3.1E-7
12203	IPR000408	Regulator of chromosome condensation, RCC1	ProSitePatterns	PS00626	Regulator of chromosome condensation (RCC1) signature 2.	2	123,243,	133,253,	-,-
12203	IPR019786	Zinc finger, PHD-type, conserved site	ProSitePatterns	PS01359	Zinc finger PHD-type signature.	1	443,	488,	-
12203	IPR000408	Regulator of chromosome condensation, RCC1	ProSiteProfiles	PS50012	Regulator of chromosome condensation (RCC1) repeat profile.	5	79,137,193,257,369,	136,192,256,314,423,	10.705,10.223,16.072,12.213,9.419
12203	IPR019787	Zinc finger, PHD-finger	ProSiteProfiles	PS50016	Zinc finger PHD-type profile.	1	440,	491,	10.665
12203	IPR001965	Zinc finger, PHD-type	SMART	SM00249	PHD zinc finger	1	442,	489,	1.6E-12
12203	IPR009091	Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II	SUPERFAMILY	SSF50985	\N	1	8,	424,	3.4E-65
12203	IPR011011	Zinc finger, FYVE/PHD-type	SUPERFAMILY	SSF57903	\N	1	432,	492,	1.9E-16
12281	IPR002060	Squalene/phytoene synthase	HMMPfam	PF00494	Squalene/phytoene synthase	1	58,	346,	1.9E-38
12281	IPR019845	Squalene/phytoene synthase, conserved site	ProSitePatterns	PS01044	Squalene and phytoene synthases signature 1.	1	188,	203,	-
12281	IPR019845	Squalene/phytoene synthase, conserved site	ProSitePatterns	PS01045	Squalene and phytoene synthases signature 2.	1	224,	249,	-
12281	IPR008949	Isoprenoid synthase domain	SUPERFAMILY	SSF48576	\N	1	48,	397,	3.02E-69
12281	IPR006449	Farnesyl-diphosphate farnesyltransferase	TIGRFAM	TIGR01559	squal_synth: farnesyl-diphosphate farnesyltransferase	1	47,	397,	2.1E-128
12846	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	HMMPfam	PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	1	13,	48,	1.7E-8
12846	IPR007219	Transcription factor domain, fungi	HMMPfam	PF04082	Fungal specific transcription factor domain	1	147,	308,	1.5E-8
12846	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	ProSitePatterns	PS00463	Zn(2)-C6 fungal-type DNA-binding domain signature.	1	14,	44,	-
12846	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	ProSiteProfiles	PS50048	Zn(2)-C6 fungal-type DNA-binding domain profile.	1	14,	46,	11.371
