#proteinId	gotermId	goName	gotermType	goAcc
2851	12906	metal ion transport	biological_process	GO:0030001
2851	21295	metal ion binding	molecular_function	GO:0046872
2852	3736	ATP binding	molecular_function	GO:0005524
2852	4927	transport	biological_process	GO:0006810
2852	8976	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	molecular_function	GO:0015662
2852	9320	membrane	cellular_component	GO:0016020
2852	12906	metal ion transport	biological_process	GO:0030001
2852	21295	metal ion binding	molecular_function	GO:0046872
2852	10015	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	molecular_function	GO:0016820
5088	4639	proteolysis	biological_process	GO:0006508
5088	13544	caspase activity	molecular_function	GO:0030693
5743	587	nucleosome	cellular_component	GO:0000786
5743	2176	DNA binding	molecular_function	GO:0003677
5743	3838	nucleus	cellular_component	GO:0005634
5743	4484	nucleosome assembly	biological_process	GO:0006334
6619	10376	calmodulin-lysine N-methyltransferase activity	molecular_function	GO:0018025
6942	2413	NADPH:quinone reductase activity	molecular_function	GO:0003960
7197	2244	microtubule motor activity	molecular_function	GO:0003777
7197	4051	microtubule associated complex	cellular_component	GO:0005875
7197	5112	microtubule-based process	biological_process	GO:0007017
7406	5939	zinc ion binding	molecular_function	GO:0008270
7634	3727	protein binding	molecular_function	GO:0005515
7647	5939	zinc ion binding	molecular_function	GO:0008270
8574	5939	zinc ion binding	molecular_function	GO:0008270
8578	5939	zinc ion binding	molecular_function	GO:0008270
10160	5939	zinc ion binding	molecular_function	GO:0008270
10506	5939	zinc ion binding	molecular_function	GO:0008270
10885	2888	monooxygenase activity	molecular_function	GO:0004497
10885	4283	electron transport	biological_process	GO:0006118
10885	4851	aromatic compound metabolic process	biological_process	GO:0006725
10885	5830	metabolic process	biological_process	GO:0008152
10885	9710	oxidoreductase activity	molecular_function	GO:0016491
10885	10964	salicylate 1-monooxygenase activity	molecular_function	GO:0018658
12203	3727	protein binding	molecular_function	GO:0005515
12203	5939	zinc ion binding	molecular_function	GO:0008270
12203	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
